en,ta
achievement need,அடைவுத் தேவை
basic (a),அடிப்படையான
therapy,சிகிச்சை
head master,தலைமை ஆசான்
bench mark,அறிமட்டம் / திறனளவு
special order,தனி ஆணை
consensual injury,கருத்தொன்றிய ஊறு
advertising research,விளம்பரஞ்செய்தல் ஆய்வு
nobility,பெருந்தன்மை
crisis,நெருக்கடி
planned lesson,திட்டமிடப்பட்ட பாடம்
technical financial evaluation committee,தொழில்நுட்ப
environmental determinism,சூழலாதிக்கம்
bill of rights,உரிமைமுறி
documentation,ஆவணப்படுத்தல்
sale by description,விவரண விற்பனை
ideological function of mass communication,வெகுசனத் தொடர்பாடலின் கருத்தியல்ரீதியான செயற்பாடு
the alternative press,பதிலீடு பத்திரிகை
except,தவிர
lateral communication,கிடையான தொடர்பாடல்
right and reason,உரிமை மற்றும் காரணம்
hyper sensitivity,அதியுணர்திறன்
land tenure,நில உரிமைக் காலம்
exiting law,நடைமுறையிலிருக்கும் சட்டம்
heart burn,நெஞ்செரிவு
purpose,அறக் குறிக்கோள்ஃநோக்கம்
status of an officer,பணியாளர் தகுநிலை
Renaissance,மறுமலர்ச்சி
cultural trait,பண்பாட்டுப் பாங்குகள்
ante-nuptial contract,திருமணத்திற்கு முந்திய ஒப்பந்தம்
lieu leave,பதில் லீவு
long title,விரிவுத் தலைப்பு
group advertising,குழு விளம்பரஞ்செய்தல்
tantamount,நிகர்பெறுதியான
cantonment,பாளையம்
minus,சய
voluntary manslaughter,எண்ணிச்செய்த ஆட்கொளை
virtual mass,நடைமுறையில் மெய்ம்மையான வெகுசன
soft news,மென் செய்தி
ex lege,சட்டத்தால்
learned behaviour,கற்றுக்கொண்ட நடத்தை
master teacher,உபாத்தியாயன்
alternate sponsor,பதிலீடு அனுசரணையாளர்
position,நிலை
public,பொது
wrong folio,தவறான பக்கம்
plot,சூழ்ச்சி
crisis management,நெருக்கடி முகாமைத்துவம்
a priori,முன்னது ஏதுவான
data selection,தரவு தெரிதல்
discovery of documents,ஆவணக் கண்டுபிடிப்பு
professional adviser,உயர் தொழில்சார் ஆலோசகர்
existence,இருப்பு
degeneracy,பண்புச் சிதைவு
correlate,சம்பந்தப்படுத்தல்
socage tenure,பணிசெய் காணிக்குத்தகை
system-wide analysis,முறைமை-பரந்த பகுப்பாய்வு
party to a bill,சட்டமூலத்துக்கான திறத்தவர்
multi media,பல்லூடகம்
external (a),வெளிவாரி
diplomatic corps,இராசதந்திரச் சிறப்பணி
original mode,முதன்மை ஒழுங்குகள்
kinetics,இயக்கவியல்
prior conditions,முன் நிபந்தனைகள்
opinionaire,கருத்துக் கணிப்புப் பத்திரம்
commentary,விளக்கவுரை
land value increment,காணிப்பெறுமதியை அதிகரித்தல்
pollution,மாசடைவு
collective communication,கூட்டுத் தொடர்பாடல்
victim,பாதிக்கப்பட்டவர்
advance accounts,முற்பணக் கணக்குகள்
group marriage,குழு மணம்
hierarchy of influences,செல்வாக்குகளின் அதிகாரப்படிநிலை
oral argument,வாய்மொழி விவாதம்
directing counselling,வழிபடுத்தும் ஆலோசனையியல்
substantive evidence,நிலையான சான்று
communism,பொதுவுடமைவாதம்
under seal,இலச்சினையின் கீழ்
application cards,பிரயோக அட்டைகள்
reservation lands,ஒதுக்குக் காணிகள்
feedback process,பின்னூட்டற் செயன்முறை
gifted (a),மீத்திறனுள்ள
tabloid journalism,தபிலோய்ட் பத்திரிகைத்தொழில்
scaffolding questions,ஏண்முறை வினாக்கள்
issuing orders,கட்டளை பிறப்பித்தல்
excursion,இன்பவுலா
distribution curve,பரம்பல் வளையி
try and determine,விளங்கித் தீர்மானி
assumption,ஊகம்
state servitudes,அரச சேவகம்
examiner of quetioned documents,ஆட்சேபிக்கப்பட்ட ஆவணப் பரீட்சகர்
abduction,கடத்தல்
nontechnical,தொழில்நுட்பமல்லா
investor,முதலீட்டாளர்
law and order,சட்டமும் ஒழுங்கும்
clergyman,கிறிஸ்தவ சமயகுரு
centre,மையம்
culturalist approach,பண்பாட்டாளர் அணுகுமுறை
disposing power,தீர்த்தற்றத்துவம் முடிவு செய்யும் அதிகாரம்
occultism,மறையியல்
overdetermination,மிகை உறுதிப்பாடு
age of majority,பூரண வயது
frequency modulation,அதிர்வெண் ஒலி ஏற்றத்தாழ்வு
stimulation,தூண்டல்
deed of transfer,கைமாற்றல் உறுதி
commissions of inquiry ordinance,விசாரணை ஆணைக்குழுக்கள் கட்டளைச் சட்டம்
prison industries account,சிறைச்சாலை கைத்தொழில் கணக்கு
banker,வங்கியாளர்
hypothesis,எடுகோள்
prosecution witness,வழக்குத் தொடருனர் சாட்சி
classical (a),தொல்சீர் / பாரம்பரிய
ethical guilt,ஒழுக்கக் குற்றம்
construction,நிர்மாணம்
subscriptions,நிதி உதவிப் பட்டியல்கள்
new accents,புதிய மொழி
land database,காணிகள் தரவுத் தளம்
harshness,கடுமை
lactometer,பால்மானி
personal selling,ஆள்நிலை விற்பனை
viewers international,பார்வையாளர் சர்வதேசம்
heat,வெப்பம்
suspension,இடைநிறுத்தம்
circulate,சுற்றிச் செலுத்து
prevention,தடுப்பு
self-investigation,சுய விசாரம்
bargain,பேரம் பேசுதல்
associate director,இணை இயக்குநர்
lease at will,இச்சைக் குத்தகை
coverage,செய்தி சேகரிப்பு
special grant,விஷேட அளிப்பு
chief accounting officer,பிரதான கணக்கீட்டு உத்தியோகத்தர்
constancy,மாறாத்தன்மை
personification of politics,அரசியலின் ஆளுருவகம்
school welfare board,பாடசாலை நலன்புரி மன்றம்
identify confusion,அடையாளம் காண் தடுமாற்றம்
articulate,தெளிவாகப் பேசுதல்
hearing sense,கேட்டலுணர்வு
exemplification,மாதிரிப்படி
vertical approach,நிலைக்குத்தான அணுகுமுறை
majority,பெரும்பான்மை
claimant,உரிமை கோருபவர்
indemnity,இழப்பீடு
authorized representative,அதிகாரமளிக்கப்பட்ட பிரதிநிதி
benefit performance,கொடை நிகழ்ச்சி
field,துறை
least resistance,ஆகக் குறைந்த மறுப்பு
donatio mortis casua,இறப்புக் காரணமாக வழங்கப்படும் நன்கொடை
auditory discrimination,செவிப்புல பிரித்தறி திறன்
lot,சீட்டிழுப்பு
layout designs,திட்ட அமைப்பு உருவரைகள்
socio-political,சமூக-அரசியல்
analysis,பகுப்பாய்வு
licentiate,உரிமத்தவர்
companies ordinance,கம்பனிகள் கட்டளைச் சட்டம்
over stocking,இருப்புகளை மேலதிகமாக கையிருப்பில் வைத்திருத்தல்
schedule,விவர அட்டவணை
puisne mortgage,பின்னணை ஈடு
opinion survey,அபிப்பிராயக் கணிப்பீடு
evil,தீமை
cash memo,பணக்குறிப்பு
management,முகாமைத்துவம்
self-development,சுய விருத்தி
status of an employee,தொழிலாளரின் நிலை
presentation,அளிக்கை
established interest,தாபிதமான அக்கறை
tamper,நிலைபுரட்டுதல்
cemetery keeper,சுடுகாட்டுக் காப்பாளர்
gregarious instinct,குழுநாட்டவியல்பூக்கம்
proposition,முன்மொழிவுரை
contractual obligation,கடப்பாட்டு ஒப்பந்தம்
synergism,கூட்டு இயக்க விளைவு
discounts,கழிவுகள்
allocation,இடஒதுக்கீடு
struggle,போராட்டம்
animate (a),உயிருள்ள
special warrant,விசேட ஆணைச்சட்டம்
justice puisne,துணை நீதிபதி
private parties,தனிப்பட்ட தரப்பினர்
summary remedy,உடனடி விசாரணை நிவாரணம்
public money,பொதுமக்கள் பணம்
expenditure debited,பற்றுவைத்த செலவினம்
idea recording,கருத்துப் பதிவு
judiciary,நீதித்துறை
residue,எச்சம்
capacity development,ஆற்றல் விருத்தி
relationship,உறவு
professional communication,வாழ்க்கைத் தொழில் தொடர்பாடல்
serial number,தொடரிலக்கம்
remittance transfer certificate,செலுத்துத்தொகை மாற்றுச் சான்றிதழ்
media communication,ஊடகத்தொடர்பாடல்
constructive epistemology,ஆக்கபூர்வ அறிவாராய்ச்சி
client,வாடிக்கையாளர்
annuity,ஆண்டுத் தொகை
draft amendment,வரைவுத் திருத்தம்
diaspora,புலம்பெயர்ந்தோர்
co-owners,கூட்டு உரித்தாளர்கள்
code of practice,நடப்புக் கோவை
experience,அனுபவம்
illustrated talk,விளக்கமான பேச்சு
annual goal,ஆண்டிலக்கு
manorial,பண்ணை முறை
prosecution,குற்றவழக்குத்தொடு
affiliated college,இணையப்பெற்ற கல்லூரி
visibility,புலப்படுதன்மை
secondment,வழிமொழிவு
electronic evangelism,மின்னியல் விவிலிய 'நற்செய்தி'யைப் பற்றி மேடை உரையாற்றல்
senate,மூதவை
dullard,மந்தன்
gala day,கொண்டாட்ட தினம்
routine,வழக்கமுறை
data capture,தரவுப் பிடிப்பு
readjustment,மீள் சீராக்கம்
coastwise ship,கரைபடு கப்பல்
own accord,சுயவிருப்பத்துடன்
alteration,திருத்தம்
liquid,திரவ
error of quality,வழுவுடைத் தரம்
legal remedy,சட்டப் பரிகாரம்
extra-curricular (a),பாடவிதானத்துக்கு மேலதிகமாக
card passes,அட்டைச் செல்கைச் சீட்டுகள்
co-heir,கூட்டு மரபுரிமையாளர்
motion,இயக்கம்
casual basis,அமய அடிப்படை
teleprocessing functions,தொலைமுறைவழி செயற்பாடுகள்
equivalent assurance,சம காப்பீடு
weak,பலவீனமான
journalism studies,பத்திரிகைத்தொழில் ஆய்வுகள்
ex hypothesi,கருதுகோள்வழி
middle management,இடை நிலை முகாமை
public right to know,அறிவதற்கான பொதுசன உரிமை
legally,சட்டப்படி
skype,ஸ்கைப்
medical officer of health,சுகாதார மருத்துவ அதிகாரி
sustained attention,நிலைத்த அவதானம்
imperative (a),தவிர்க்கமுடியாத
verbal language,வாய்மொழி மொழி
water gang,நீர்க்கால்
quiet,குழப்பமற்ற
delusion,பொய்த்தோற்றம்
multi person comparisons,பல்நபர் ஒப்பீடுகள்
collateral security,துணைப் பிணையம்
mero motu ex,தனது விருப்பின் படி
communication courses,தொடர்பாடல் கற்கைநெறிகள்
activity,செயற்பாடு
treasure trove,புதையல்
developmental theory,அபிவிருத்திக் கோட்பாடு
verdict,துணிபுரை
salary procedure,சம்பளப் படிமுறை
introversion extroversion test,அகமுக புறமுகச் சோதனை
eroticism,காமக்கிளர்ச்சி
renewal application,புதுப்பிப்பு மனு
process server,மன்றாணை வழங்குபவர்
lawful possession,சட்டமுறையான உடைமை
right of use,பயன்படுத்துரிமை
compact disk,குறுவட்டு
authoritative definition,அதிகாரபூர்வ வரைவிலக்கணம்
expertise,நிபுணத்துவம்
customary court,வழமைமன்று
late attendence,பிந்திய வருகை
assistant,உதவியாளர்
audience segmentation,நேயர் கூறுபாடு
pari passu,சமமாக
updating,இற்றைப்படுத்தல
security document,பிணை ஆவணம்
conclusive presumption,இறுதியான ஊகம்
media event,ஊடக நிகழ்ச்சி
organic chemistry,சேதன இரசாயனவியல்
multilateral,பல்புடை
prejudice,தவறான அபிப்பிராயம்
vacation of pot,பதவியை வெறிதாக்கல்
incongruity,ஐயம்
resource,வளங்கள்
prompt,உடனடி
naivete (navet),கபடின்மை
absolute rule of evidence,முழுமையான சான்றின் ஆட்சி
cash discount,காசுக் கழிவு
regression,பின்னடைவு
leisure industry,ஓய்வு நேரக் கைத்தொழில்
hybridization of culture,கலாசாரத்தின் இனக் கலப்பு
state-control education,அரசக் கட்டுபாட்டுக் கல்வி
droit administratif,பாலனச் சட்டம்
multiple connector,பல் இணைப்பி
under protet,மறுப்புடன்
variable,நிலையற்ற
tender decisions,கேள்விப் பத்திர தீர்மானங்கள்
vault book,நிலவறை ஏடு
incubation period,உள்வளர்ச்சிப்பருவம்
gerontology,முதுமைப்பருவவியல்
punishment,தண்டனை
moral development,நன்னடத்தை விருத்தி
transaction,கொடுக்கல்வாங்கல்
senior state counsel,சிரேஷ்ட சட்ட மதிஞர்
annual report,ஆண்டறிக்கை
sale of a land,காணியை விற்றல்
salvage money,மீட்டெடுத்த பணம்
deputy registrar,பிரதிப் பதிவாளர்
information infrastructure,தகவல் உள்கட்டமைப்பு
recovery of taxes,வரி அறவிடுதல்
domiciliary prohibitions,வாழிடத் தடைகள்
violence index,வன்முறைக் குறியீடு
supporting actor,உதவு நடிகர்
transfer of land,காணி மாற்றல்
landlocked,நிலஞ்சூழ்
readerly,பிரதியின் மேலோட்டம்
low cost,அடிமட்ட விலை
word-of-mouth advertising,வாய்வழி விளம்பரம்
mature personality,பக்குவப்பட்ட ஆளுமை
post secondary educational institution,பின் இடைநிலைக் கல்வி நிறுவனம்
general objectives,பொதுக் குறிக்கோள்கள்
organic philosophy of education,சேதன கல்வித்தத்துவம்
acoustic feedback,ஓசைப்புலன் சார்ந்த பின்னூட்டல்
co-curriculum,இணைக்கலைத்திட்டம்
post graduate education,பட்டப்பின் படிப்புக் கல்வி
nomination,பெயர்க்குறிப்பீடு
interest,வட்டி
pedantry,கல்விச் செருக்கு
weighing,எடையிடுதல்
probable,நிகழ்தகு
Director Of Public Prosecutions,அரச குற்றவழக்குப் பணிப்பாளர்
approach authoritative,அதிகார அணுகுமுறை
contravene,மீறு
step by step sequencing,படிப்படியாக வரிசைப்படுத்தல்
negation,மறுப்பு
emotional antagonism,மனவெழுச்சி எதிர்ப்பு
fine grain print,இறுதி குறுணி அச்சு
solicitude,அக்கறை
dangerous character,அபாயகரமான பன்புடையவர்
appropriate technology,பொருத்தமான தொழில்நுட்பம்
insular (a),தனிநிலைப்பட்ட
subsitence,வாழ்க்கைப்படி
plead,வாதுரைசெய்
ornamental,அலங்கார
magnificence,மகத்துவம்
termination,முடிவுறுத்தல்
television programme,தொலைக்காட்சி நிகழ்ச்சி
market segmentation,சந்தை கூறுபாடு
orator,உரைவல்லார்
table of fees,கட்டண அட்டவனை
capital,மூலதனம்
confer,கூடி ஆலோசனை செய்
deportment,நாடுகடத்தல்
under priced,தாழ்ந்த விலை
non-praedial,நிலஞ்சாராத
lead,முன்னீடு
stipulation,முன்வரைபு
objectivism,புறவயவாதம்
global consumer,பூகோள நுகர்வோர்
permit holder,அனுமதிப்பத்திரம் வைத்திருப்பவர்
real,உண்மையான
induction,தூண்டல்
spoilt cargo,சிதைவடைந்த சரக்குக் கப்பல்
ethno methodology,இனப்பரப்பு விளக்கவியல் செயல்முறையியல்
orthodox,வைதீக
legend,விவரண ஏடு
maladaptation,பிழையான இசைவாக்கம்
creative communication,ஆக்கியல் தொடர்பாடல்
voluntary board,தன்னார்வச் சபை
interaction model of communication,தொடர்பாடலின் ஊடாடு மாதிரி
unilateral,ஒருதலைப்பட்ச
pay television,பணம் செலுத்துதல்  தொலைக்காட்சி
denounce,பழிசாற்று
brewery,மதுவடிப்பகம்
proximate cause,அண்மிய காரணம்
animism,உயிர்மைவாதம்
commotion,கலம்பகம்
make up,ஒப்பனை
British Courts Probate (resealing) Ordinance,பிரித்தானிய நீதிமன்ற புரோபேட் அனுமதிப்பத்திரம்(மீள்முத்திரையிடல்) கட்டளைகள் சட்டம்
open school,திறந்த பாடசாலை
deserted children,அனாதரவான பிள்ளைகள்
audiometer,கேள்திறமானி
editorial advertising,ஆசிரிய பீட விளம்பரஞ்செய்தல்
equitable (a),நடுநிலையான
foster,வளர்ப்பு
departmental financial provision,திணைக்கள நிதி ஒதுக்கீடு
entries,பதிவுகள்
standard unit,ஏற்றுக்கொள்ளப்பட்ட கூறு
Party wall,எல்லைச் சுவர்
invariable (a),மாறா
commercial break,விளம்பர இடைவேளை
contagion,தொற்று
stability and conflict,நிலைப்படுத்தலும் மோதலும்
ideology,கருத்தியல்
navigation,கடற் பயணம்
observation,அவதானிப்பு
incompetency,தகுதியின்மை
mean,சராசரி
commission,ஆணைக்குழு
components of instructions,போதனை கூறுகள்
style,பாங்கு
pre school,முன்பள்ளி
gifted child,மீத்திறனுள்ள பிள்ளை
contracting party,ஒப்பந்தத் தரப்பினர்
collective teaching,கூட்டான கற்பித்தல்
dormant trustee,செயற்படா நம்பிக்கைப் பொறுப்பாளர்
acquittance roll,பற்றொப்பப் பட்டியல்
firmness,திண்மை
land surveys ordinance,நில அளவைகள் கட்டளைகள் சட்டம்
cognitive effect,அறிக்கை விளைவு
engraver,பதித்தல்
motivation,ஊக்கல்
pre-vocational education,தொழில்முன் கல்வி
unlawful sale,சட்டவிரோத விற்பனை
descriptive language,விவரண மொழி
language of administration,நிர்வாக மொழி
author,ஆக்கியோன்
overdraft,மேலதிகப்பற்று
originality,தன்முதன்மை
tactile,பரிசிக்கப்படக்கூடிய
air depot,வான் தரிப்பிடம்
law revision,சட்ட மீளாய்வு
unreasonable length of time,நீதிமுறைப்படுத்த முடியாக் காலம்
refutational appeal,மறுத்து வாதிடும் வேண்டுகோள்
summative tests,இறுதி மதிப்பீடு
posessory action,உடைமைசார் வழக்கு
natural right,இயற்கை உரிமை
anxiety disorders,பதகளிப்பு சீர்குலைவுகள்
self-evident,சுய சான்று
physics,பௌதிகவியல்
optional (a),விருப்பத்தேர்வுக்குரிய
genealogy,குடிமரபியல்
total eclipse,பூரண கிரகணம்
canons of succession,பின்னுரிமைக் கோட்பாட்டுவிதி
legal difference,சட்ட வேறுபாடு
international telecommunications union,சர்வதேச தொலைதொடர்புகள் ஒன்றியம்
behaviour modification,நடத்தைச் சீரமைப்பு
drunken state,குடிவெறி நிலை
debit balance,பற்றுமீதி
malevolent,தீய
titles of accounts,கணக்குத் தலைப்புக்கள்
coincidental interview,தற்செயல் நிகழ்வான நேர்காணல்
offset plate,எதிரீடு அச்சுத் தகடு
certificate of conformity,குடிபுகு சான்றிதழ்
enjoin,கட்டு
allocative action,ஒதுக்கீட்டு நடவடிக்கை
chronological order,காலக் கிரம அடிப்படை
absolute unanimity,பூரண ஒருமைப்பாடு
lease,குத்தகை
rear-surety,பிற்பிணை
kinesis,அசைவு
techniques,தொழில்நுட்பங்கள்
oral (a),வாய்வழி
government funds,அரசாங்க நிதிகள்
word rehearsal,சொல் ஒத்திகை
self-assertion,சுய வலியுறுத்தல்
grace of communication,தொடர்பாடல் நயம்
foundation course,அடிப்படைக் கற்கைநெறி
peaceable conduct,சமாதான நடத்தை
abstracts of payments,கொடுப்பனவுகளின் தொகுப்புகள்
unemployment,வேலையின்மை
special endorsement,விஷேட மேலொப்பம்
diversification,பல்வகைப்படுத்தல்
soft photographic image,மென் புகைப்பட விம்பம்
authentic,உண்மையான
mammalia,பாலூட்டும் உயிரினத் தொகுதி
educational sociology,கல்விச் சமூகவியல்
engineering,பொறியியல்
drug addiction,போதைப்பொருளுக்கு அடிமையாதல்
compact,உடன்படிக்கை
choice,தேர்வு
unity of method,முறையின் ஐக்கியம்
multi user,பல் பயனீட்டாளர்
selective,தேர்ந்தெடுக்கும்
retirement of trustee,நம்பிக்கைப் பொறுப்பாளர் விலகுதல்
unqualified declaration,நிபந்தனை​யற்ற வெளிப்படுத்துகை
studio,கலையகம்
retrenchment,வெட்டி நீக்கல்
rent-conditions of tenancy,குடியிருப்புக்கான வாடகை நிபந்தனைகள்
warrantee,உத்தரவாதச் சான்றிதழ் பெறுநர்
news paper workshop,செய்திப்பத்திரிகை இசயலமர்வு
phonology,ஒலியியல்
bill at sight,காட்சி உண்டியல்
capable (a),ஆற்றலுள்ள
media community,ஊடகச் சமுதாயம்
covering letter,தழுவு கடிதம்
date of acceptance,ஏற்றுக்கொண்ட திகதி
social studies,சமூகக் கல்வி
laboures charges,தொழிலாளி சலார்
rest room,ஓய்வறை
police,கட்டுப்பாட்டில்வை
drawee,வரையுணி
sub condicione,நிபந்தனையின் மேல்
administration,நிருவாகம்
imposition,விதிப்பு
writ of Possession,உடைமைகேள் எழுத்தாணை
abrogation,நீக்கி விடுதல்
net income,தேறிய வருமானம்
saving,எய்ப்பு
sealed tender,பொறியிடப்பட்ட கேள்விப் பத்திரம்
editorial board,பதிப்பாசிரியர் குழு
restrospective law,கடந்த காலத்தையும் அளாவிய சட்டங்கள்
genre,படைப்பு வகை
labelling,அடையாளமிடல்
civil procedure code,குடியியல் நடவடிக்கைமுறை சட்டக் கோவை
trunk road,முக்கிய பிரதான வீதி
variation of limits,எல்லைகளை மாறுபடுத்தல்
audiometer,கேள்திறமானி
sovereign political authority,இறைமையுடைய அரசியல் அதிகாரம் கொண்டவர்
accountants' service,கணக்காளர் சேவை
restrictive indorsement,வரையறுக்கும் புறக்குறிப்பு
compendium,பொழிப்பேடு
diffident,தன்னம்பிக்கையில்லா
simple random sample,எளிய எழுமான மாதிரி
felony,பெருங்குற்றம்
addenda,பிற்சேர்க்கை
bilateral,இருபுடை
feminism,பெண்ணியம்
occult science,அமானுஷ்ய அறிவியல்
chargeable,குற்றஞ்சாட்டுதகு
hypermedia,மிகைப்புஊடகம்
multisensory,பல்வகை உணர்வு
atrox,கொடிய
hindrance,இடையூறு
choice theory,தேர்வுக் கொள்கை
corresponding provision,நோரொத்திருக்கும் ஏற்பாடு
kinesiology,மனிதவுடல் இயக்கியல்
examine,சோதித்தல்
control accounts,கட்டுப்பாட்டுக் கணக்குகள்
image,விம்பம்
epidemic,பரவுநோய்
chalk and talk method,எழுத்து-பேச்சு முறை
statement of lots,காணித் துண்டுகள் பற்றிய கூற்று
general conditions,பொது நிபந்தனைகள்
extensive (a),அகன்ற
beneficial winding-up,பயன்தரு ஒடுக்குகை
analytical approach,பகுப்பாய்வு அணுகுமுறை
economic polarization,பொருளாதார முனைவாக்கம்
frame of reference,மாட்டேற்றுச் சட்டம்
deferment of increment,ஊதிய ஏற்றத் தள்ளிவைப்பு
decomposition,உருக்குலைவு
consistency,ஒருசீர்மை
media synergism,ஊடக கூட்டு இயக்க விளைவு
precious,மதிப்புள்ள
utilitarian ethics,பயன்வாத நெறி
justice,நீதி
learning solutions,தீர்வுகளைக் கற்றல்
workers investment and credit fund,தொழிலாளர் முதலீட்டு கடன் நிதியம்
viewer perception,பார்வையாளர் புலப்பதிகை
appraiser,கணிப்பாளர்
at the disposal,ஏவலில்
appointed date,நியமித்த திகதி
solemn will,முறைப்படியான விருப்பாவனம்
extension,விஸ்தரிப்பு
poster,சுவரொட்டி
uninterrupted residence,இடையறா வதிவு
value neutrality,பெறுமதி நடுநிலைமை
duct,கான்
nuptial,திருமணம்சார்
narration,எடுத்துரைப்பு
instructional events,அறிவூட்டும் சம்பவங்கள்
composite family,ஒன்றிய குடும்பம்
language education,மொழிக்கல்வி
listening,செவிமடுத்தல்
ex abundanti cautela,அளவுக்கு மிஞ்சிய கவனம்
back light,பின்னணி ஒளி
book club,புத்தகக் குழு
hermeneutics,வரைவிலக்கணவாதம்
government labour,அரசாங்க ஊழியர்
cheerful,இன்பமான
correct rates payable,கொடுபடவேண்டிய சரியான வீதங்கள்
liability of acceptor,ஏற்போன் பொறுப்புக்கள்
liberty of the subject,குடிமக்கள் விடுதலை
fascination,பரவசம்
unlimited company,வரையறுக்கப்பெறாத கம்பனி
Endorsed security,புறக்குறிப்பீடு செய்யப்பட்ட பிணை
crime prevention,குற்றத் தடுப்பு
constructive propensity,ஆக்கபூர்வ நாட்டம்
public debt,அரசாங்கக் கடன்
collections,திரட்டுகள்
original payment,மூலக் கொடுப்பனவு
dupe,ஏமாற்று
retrenchment,ஆட்குறைப்பு
accused,குற்றஞ்சாட்டப்பட்டவர்
admiralty jurisdiction,கடலாண்மை நியாயாதிக்கம்
multi stage,பல்நிலை
commercial,வர்த்தக
rate,வீதம்
treasury books,திறைசேரி ஏடுகள்
pecuniary consideration,முறை தவறிய நலன்கள்
statement,அறிக்கை
distinction,மேன்மை
marginal position,ஓரத்துக்குரிய நிலை
summon,அழைப்பாணை வழங்கு
right to privacy and mass media,இரகசியத்தன்மைக்கும் வெகுசன ஊடகத்திற்குமான  உரிமை
blog,வலைப்பதிவு
massacre,அழிவு
sub-culture,உப பண்பாடு
land grants and permits,காணி அளிப்புகளும் அனுமதிப் பத்திரங்களும்
holography,ஒளிப்படவியல்
separate estate,ஒதுக்கப்பட்ட சொத்து
news paper supplement,செய்திப்பத்திரிகை விளம்பர அநுபந்தம்
worship,வழிபாடு
problematization,ஐயப்பாட்டியல்
atheist,நாத்திகர்
Wesleyan Methodist Missionary Society,வெஸ்லியன் மெதடிஸ் மிஷனரி சபை
teaching  aids,கற்பித்தல் உதவி
general ability,பொதுவாற்றல்
governing body,ஆளுகைக் குழு
pictorial,பட விளக்கங் கொண்ட பத்திரிகை
education fundamental right,அடிப்படைக் கல்வி உரிமைகள்
deontological journalism,கடமை இயல்சார் பத்திரிகைத்தொழில்
letters of credence,அறிமுகப் பத்திரம்
precedent,முற்கோள்
camera set-up,கமரா கட்டமைப்பு
group psychology,குழு உளவியல்
winding up accounts,முடிவாக்கல் கணக்குகள்
employment,தொழில்
shared writing,பகிரப்பட்ட எழுத்தாக்கம்
leader participation model,தலைவர் பங்கெடுக்கும் மாதிரியுரு
saturation,நிறைநிலை
associated trademark,இணைந்த வியாபாரக்குறி
creation of demands,கிராக்கிகளின் ஆக்கத்திறன்
phonography,ஒலிப்பதிவு செய்யுங்கருவி
gross domestic product,மொத்த உள்நாட்டு உற்பத்தி
third person,மூன்றாமவர்
supplies,வழங்கீட்டுப்பெருள்கள்
accumulation rule,திரள்விதி
paternal power,பிதாவழி ஆற்றல்
decline stage,வீழ்ச்சிநிலைக்கட்டம்
neo-realism,நவ-மெய்ம்மைவாதம்
dysfunctional,கஷ்டமான செயல்
sub-committee,உப குழு
dual control,இருவழிக் கட்டுப்பாடு
technician,தொழில்நுட்ப வல்லுநர்
demonstration,தொடுத்துக் காட்டுதல்
inefficiency,வினைத்திறனின்மை
optimal,உத்தம
order-in-council,கழகத்துப்பணி
mass audience,வெகுசன நேயர்
merge,ஒன்றிணை
vocabulary test,சொல்வளச் சோதனை
places of work,வேலைத்தலம்
first person,தன்மை
retain,தக்கவைத்திரு
registrar of deeds,காணி உறுதிப் பதிவாளர்
political sovereignty,அரசியல் இறைமை
approved probationer,தகுதிகாணும் பருவம் எய்தியவர்
charge (money) (v),விதி
controlled circulation,கட்டுப்படுத்திய சுற்று
computer-augmented learning,கணினி-பெரிதாக்கப்பட்ட கற்கை
financial aspects,මුදල් සම්බන්ධතා
migration,குடிபெயர்வு
tom tom beating,முரசறைதல்
self-help,சுய உதவி
salvation,விமோசனம்
inferiority complex,தாழ்வுச் சிக்கல்
legal personal representative,சட்டவழித் தனிப்பட்ட பிரதிநிதி
section,பிரிவு
applicable,பொருந்துகின்ற
internal (a),அகநிலை
multi-lateral school,பல்படித்தான பாடசாலை
legal fiction,சட்டப் புனைவு
procedure,செயல்முறை
management control,முகாமைத்துவக் கட்டுப்பாடு
feoffee,அனுபவிப்பவர்
turn-over,மொத்த விற்பனை
division of votes,வாக்குப் பிரிப்பு
desensitization,உணர்வழிப்பு
chauffeur,வண்டிச் சாரதி
conspiratorial,சதிசார்
fundamental education,அடிப்படைக் கல்வி
direct collection,நேரடி சேகரிப்பு
settlement file,நிர்ணயிப்புக் கோப்பு
practical problem,நடைமுறைப் பிரச்சினை
bill in a set,தொகுதி உண்டியல்
upper class,உயர் வகுப்பு
computerization,கணினிமயமாக்கல்
advertising folder,விளம்பரஞ்செய்தல் மடிப்புத் தாள்
nuncupative will,வாய்முறையான உயில்
auto teller machine,தன்னியக்க வங்கி இயந்திரம்
peremptory order,மீறமுடியாத கட்டளை
war zone,யுத்த வலயம்
specific debenture,குறித்த கடனீட்டு ஆவணம் .
mass media industries,வெகுசன ஊடகக் கைத்தொழில்கள்
substantive judgement,பொருண்மைத் தீர்ப்பு
educational outcome,கல்விசார் பலாபலன்
admissible,ஏல்தகு
infotainment,செய்திக்கு  முன்னையபொழுதுபோக்கு
authorizer,அதிகாரமளிப்பவர்
agency produced program,முகவக தயாரிப்பிலான நிகழ்ச்சி
benevolent,நன்மை பயக்கும்
filing of index slips,அட்டவணைச் சீட்டுகளைக் கோத்தல்
interpolation,இடைச் செருகல்
affective behaviour,உணர்த்துதிறனுடைய நடத்தை
